Id,Label,PageRank,InDegree,OutDegree,Community,Url
199693,hep-th/9805170,31.61638569325413,500,16,590825,https://arxiv.org/abs/hep-th/9805170
198307,hep-th/9511088,75.11134990243453,96,9,658293,https://arxiv.org/abs/hep-th/9511088
582085,astro-ph/0205436,40.78329071477452,1007,51,417408,https://arxiv.org/abs/astro-ph/0205436
269137,hep-th/9906064,150.30097119474547,2891,13,345230,https://arxiv.org/abs/hep-th/9906064
260137,hep-th/9711165,48.580055795738055,563,6,271284,https://arxiv.org/abs/hep-th/9711165
849079,1602.07261,31.131291910643068,218,4,697359,https://arxiv.org/abs/1602.07261
754759,hep-th/9504147,53.4906881792402,260,29,259100,https://arxiv.org/abs/hep-th/9504147
648523,hep-th/9805028,37.08778187349269,582,13,218682,https://arxiv.org/abs/hep-th/9805028
783439,astro-ph/9608131,56.04549860770846,60,4,899079,https://arxiv.org/abs/astro-ph/9608131
360955,0910.1879,34.357390200821825,36,10,205709,https://arxiv.org/abs/0910.1879
621505,1109.2497,66.01080175267771,305,0,925178,https://arxiv.org/abs/1109.2497
725809,1511.06434,90.58847277138396,1021,17,787631,https://arxiv.org/abs/1511.06434
765295,hep-th/9402005,119.13052115893515,124,0,73078,https://arxiv.org/abs/hep-th/9402005
50539,hep-th/9510182,33.20153175332809,248,58,658293,https://arxiv.org/abs/hep-th/9510182
800443,quant-ph/9612026,62.02969986702852,54,2,336545,https://arxiv.org/abs/quant-ph/9612026
284755,cond-mat/0009244,49.537081147295474,241,9,47966,https://arxiv.org/abs/cond-mat/0009244
258949,gr-qc/9409015,32.071324551785516,132,2,949133,https://arxiv.org/abs/gr-qc/9409015
34831,hep-th/9902121,41.36307000333278,1012,20,95741,https://arxiv.org/abs/hep-th/9902121
719755,hep-lat/9707022,31.67177932037379,558,8,523159,https://arxiv.org/abs/hep-lat/9707022
80629,hep-th/9702103,35.31966248459121,357,27,610437,https://arxiv.org/abs/hep-th/9702103
640249,0705.2416,35.223016078376176,2,1,817301,https://arxiv.org/abs/0705.2416
205825,hep-th/9308112,42.135904081783224,31,0,459181,https://arxiv.org/abs/hep-th/9308112
12637,1409.5185,39.78700213157722,75,5,697359,https://arxiv.org/abs/1409.5185
624049,hep-th/9501030,157.4892544357679,95,12,658293,https://arxiv.org/abs/hep-th/9501030
533833,1306.1091,51.57333290620728,32,4,370710,https://arxiv.org/abs/1306.1091
765349,1406.1078,86.39371502378766,733,2,843965,https://arxiv.org/abs/1406.1078
58981,hep-ph/9806263,32.38157203849424,154,7,677654,https://arxiv.org/abs/hep-ph/9806263
593581,hep-th/9302103,50.667788507101356,217,0,499680,https://arxiv.org/abs/hep-th/9302103
429223,1308.4214,231.99508504088914,68,1,697359,https://arxiv.org/abs/1308.4214
313531,quant-ph/9908073,51.45595470271673,70,21,599207,https://arxiv.org/abs/quant-ph/9908073
686503,quant-ph/9707021,105.16251842438305,499,8,257234,https://arxiv.org/abs/quant-ph/9707021
567379,1412.2306,66.35204987984932,82,14,377304,https://arxiv.org/abs/1412.2306
517675,1401.1022,55.286287637674924,6,4,787631,https://arxiv.org/abs/1401.1022
773389,astro-ph/0212289,61.45694923163564,197,11,260455,https://arxiv.org/abs/astro-ph/0212289
682273,1310.6343,50.337100822951214,23,2,697359,https://arxiv.org/abs/1310.6343
48079,hep-th/9701049,40.365601880744286,11,0,181027,https://arxiv.org/abs/hep-th/9701049
340315,1012.2599,99.4718913018092,169,2,82400,https://arxiv.org/abs/1012.2599
532981,0803.0732,35.683734914192755,525,0,260814,https://arxiv.org/abs/0803.0732
335827,1009.5419,42.895244403483765,4,1,300209,https://arxiv.org/abs/1009.5419
517993,hep-th/9611230,53.91545727114975,895,21,325967,https://arxiv.org/abs/hep-th/9611230
675871,hep-th/9602052,166.00976345280162,506,34,658293,https://arxiv.org/abs/hep-th/9602052
794425,hep-th/9511026,74.54334291938315,72,7,658293,https://arxiv.org/abs/hep-th/9511026
419167,0704.3575,37.06213997600691,297,81,946271,https://arxiv.org/abs/0704.3575
169357,1403.6382,82.90105612704508,67,2,697359,https://arxiv.org/abs/1403.6382
772801,hep-ph/9806292,63.28068209163353,420,14,677654,https://arxiv.org/abs/hep-ph/9806292
217837,hep-th/9406179,53.050846344365276,4,0,767552,https://arxiv.org/abs/hep-th/9406179
343585,hep-th/9904017,39.19234823319039,615,43,302874,https://arxiv.org/abs/hep-th/9904017
4231,hep-ph/9804403,57.447674165981745,364,3,67094,https://arxiv.org/abs/hep-ph/9804403
74677,hep-ex/0112021,36.78401946669296,148,19,581898,https://arxiv.org/abs/hep-ex/0112021
234571,hep-th/9506194,170.63849224987246,87,9,658293,https://arxiv.org/abs/hep-th/9506194
285619,hep-th/9607163,49.42402516650738,407,4,487873,https://arxiv.org/abs/hep-th/9607163
373867,astro-ph/9609132,41.98130410243781,190,1,899079,https://arxiv.org/abs/astro-ph/9609132
