Id,Label,PageRank,InDegree,OutDegree,Community,NeighborCommunities,BridgeScore,Url
371166,hep-th/9408099,242.10970592283982,1288,5,80094,12,2905.316471074078,https://arxiv.org/abs/hep-th/9408099
940956,math/0211065,244.43044385421018,3,0,723276,1,244.43044385421018,https://arxiv.org/abs/math/0211065
477768,0808.4134,22.539480873523736,23,4,945607,1,22.539480873523736,https://arxiv.org/abs/0808.4134
21900,quant-ph/0101025,21.716905494704676,102,4,363873,2,43.43381098940935,https://arxiv.org/abs/quant-ph/0101025
960576,quant-ph/0701120,20.755457179969053,4,1,45109,1,20.755457179969053,https://arxiv.org/abs/quant-ph/0701120
622212,hep-th/9606017,33.208630211995725,135,15,658293,7,232.46041148397006,https://arxiv.org/abs/hep-th/9606017
102270,gr-qc/9808028,24.465633993557994,144,13,493830,0,0.0,https://arxiv.org/abs/gr-qc/9808028
891504,hep-ph/0211331,29.473529212726774,654,31,181332,5,147.36764606363386,https://arxiv.org/abs/hep-ph/0211331
143022,astro-ph/9506072,30.11447300831664,475,3,246082,6,180.68683804989985,https://arxiv.org/abs/astro-ph/9506072
522972,hep-th/9806039,51.17882373207035,418,4,246082,5,255.89411866035175,https://arxiv.org/abs/hep-th/9806039
362652,gr-qc/0110034,48.652471574744325,494,220,353358,5,243.2623578737216,https://arxiv.org/abs/gr-qc/0110034
33192,hep-ex/9803006,64.12400736603726,122,0,741426,1,64.12400736603726,https://arxiv.org/abs/hep-ex/9803006
364248,0801.0287,57.83351460428631,503,88,856149,2,115.66702920857261,https://arxiv.org/abs/0801.0287
252414,0810.4995,28.996639453714796,940,1,260814,2,57.99327890742959,https://arxiv.org/abs/0810.4995
924732,gr-qc/0401013,34.70505404076856,28,1,798409,1,34.70505404076856,https://arxiv.org/abs/gr-qc/0401013
949596,hep-th/9510134,30.632903440609606,100,27,259100,8,245.06322752487685,https://arxiv.org/abs/hep-th/9510134
594288,hep-ph/0412158,78.20907918391069,617,937,594288,24,1877.0179004138565,https://arxiv.org/abs/hep-ph/0412158
734466,1606.00915,40.18736480204752,353,32,697359,2,80.37472960409504,https://arxiv.org/abs/1606.00915
711036,0804.2509,47.09933009181027,202,8,80121,1,47.09933009181027,https://arxiv.org/abs/0804.2509
36606,hep-th/9502072,127.09208086663998,183,15,658293,5,635.4604043331999,https://arxiv.org/abs/hep-th/9502072
497388,1309.2388,30.163633092002655,121,0,577421,1,30.163633092002655,https://arxiv.org/abs/1309.2388
832068,hep-ph/9612313,32.38921353166602,251,2,197724,2,64.77842706333205,https://arxiv.org/abs/hep-ph/9612313
252912,1405.0312,71.24624246720055,172,0,697359,3,213.73872740160164,https://arxiv.org/abs/1405.0312
857862,hep-ph/0312045,38.83581021267865,521,8,126308,7,271.85067148875055,https://arxiv.org/abs/hep-ph/0312045
948366,astro-ph/9704247,20.384298996745258,18,4,783809,2,40.768597993490516,https://arxiv.org/abs/astro-ph/9704247
4668,hep-th/9810155,55.787126609452564,952,55,73078,15,836.8068991417884,https://arxiv.org/abs/hep-th/9810155
402486,1212.0901,103.80819132769776,8,2,843965,2,207.6163826553955,https://arxiv.org/abs/1212.0901
867084,nucl-ex/0106015,31.93567157123041,445,4,197069,4,127.74268628492165,https://arxiv.org/abs/nucl-ex/0106015
417984,1308.0178,27.78768911607398,24,4,691393,1,27.78768911607398,https://arxiv.org/abs/1308.0178
847044,hep-th/9601038,85.97885681523914,474,7,658293,11,945.7674249676305,https://arxiv.org/abs/hep-th/9601038
827256,hep-th/9512219,68.79598825288572,193,16,658293,11,756.7558707817429,https://arxiv.org/abs/hep-th/9512219
133704,hep-th/9208055,25.377532650181838,10,0,658293,1,25.377532650181838,https://arxiv.org/abs/hep-th/9208055
789840,hep-th/9504027,147.45232548171717,126,19,658293,7,1032.16627837202,https://arxiv.org/abs/hep-th/9504027
806466,0804.1036,32.68707315771831,22,1,66152,1,32.68707315771831,https://arxiv.org/abs/0804.1036
496200,0803.1244,21.11666562333394,8,0,204928,1,21.11666562333394,https://arxiv.org/abs/0803.1244
733170,hep-th/9802183,54.46067919721029,549,12,506615,10,544.6067919721029,https://arxiv.org/abs/hep-th/9802183
932952,hep-ph/9807216,26.81834943216519,133,5,197069,1,26.81834943216519,https://arxiv.org/abs/hep-ph/9807216
