Source,Target,Type
115699,789840,Directed
115699,809936,Directed
117249,817055,Directed
118479,768431,Directed
118479,836203,Directed
118533,173104,Directed
118533,251169,Directed
118533,284560,Directed
118533,339616,Directed
118533,466896,Directed
118533,586259,Directed
118533,675871,Directed
118533,769932,Directed
118533,772920,Directed
119044,394026,Directed
119044,653288,Directed
119044,681041,Directed
119044,783480,Directed
121189,22044,Directed
121189,251169,Directed
121189,269137,Directed
121189,360637,Directed
121189,955142,Directed
121189,963959,Directed
121266,160290,Directed
121266,229015,Directed
121266,710410,Directed
122152,27266,Directed
122152,334615,Directed
122152,406500,Directed
122152,430832,Directed
122152,780279,Directed
122152,809936,Directed
122489,306141,Directed
122489,506342,Directed
122489,736987,Directed
123028,36606,Directed
123028,460550,Directed
123028,480597,Directed
123028,624049,Directed
123028,662404,Directed
123279,861061,Directed
124420,12,Directed
124420,491195,Directed
125695,561887,Directed
125695,827256,Directed
125883,604011,Directed
127348,421466,Directed
128234,50345,Directed
128386,875536,Directed
128386,906384,Directed
128689,80094,Directed
128689,106810,Directed
128689,406500,Directed
128689,430832,Directed
128689,460550,Directed
128689,695630,Directed
128689,759879,Directed
128689,780279,Directed
128689,809936,Directed
128689,861535,Directed
129665,75122,Directed
130645,698703,Directed
132662,256009,Directed
132662,676461,Directed
132662,772801,Directed
132662,893040,Directed
134609,561887,Directed
134609,570165,Directed
134609,652747,Directed
135346,195136,Directed
135346,494715,Directed
135346,786514,Directed
135346,850033,Directed
135393,32561,Directed
135393,210231,Directed
135393,455177,Directed
135393,846699,Directed
135393,897081,Directed
136555,252546,Directed
136555,261279,Directed
136555,361524,Directed
136555,473193,Directed
136555,520293,Directed
136555,540260,Directed
136555,713786,Directed
136555,809159,Directed
136555,821216,Directed
137759,365355,Directed
137759,691771,Directed
138484,48776,Directed
138484,164407,Directed
138484,697359,Directed
138484,960506,Directed
138625,40206,Directed
138755,258304,Directed
138755,467221,Directed
138755,475002,Directed
138755,543284,Directed
138755,579637,Directed
138755,773389,Directed
138755,948646,Directed
138755,972191,Directed
143022,861395,Directed
143456,524219,Directed
143456,814770,Directed
145474,542572,Directed
145948,427677,Directed
145948,881828,Directed
147677,133129,Directed
147677,358453,Directed
147677,944301,Directed
148633,978737,Directed
149187,260137,Directed
149187,495162,Directed
149187,675871,Directed
149187,956944,Directed
149528,213254,Directed
149797,756179,Directed
150185,373867,Directed
150185,783439,Directed
151401,487318,Directed
151670,707129,Directed
151818,22168,Directed
151911,367743,Directed
151911,604283,Directed
152089,313669,Directed
152089,337782,Directed
152089,352724,Directed
152089,394026,Directed
152089,618799,Directed
152089,663942,Directed
152089,827256,Directed
152548,903,Directed
152548,145948,Directed
152548,494715,Directed
152548,827782,Directed
152548,854647,Directed
153287,148930,Directed
153287,210552,Directed
153287,283572,Directed
153287,284395,Directed
153287,364248,Directed
153287,427358,Directed
153287,563187,Directed
153287,671487,Directed
153287,846758,Directed
155080,576798,Directed
155706,84743,Directed
157090,640848,Directed
157186,417984,Directed
158782,602222,Directed
158850,168849,Directed
158982,47597,Directed
158982,251618,Directed
158982,878700,Directed
159664,138755,Directed
159664,258304,Directed
159664,775288,Directed
160059,21956,Directed
160059,33428,Directed
160059,460278,Directed
160059,563725,Directed
160059,655211,Directed
160290,138228,Directed
162847,130507,Directed
162847,368280,Directed
162847,818621,Directed
162847,903282,Directed
162847,973180,Directed
164407,226930,Directed
164407,937271,Directed
166624,51118,Directed
166624,108597,Directed
166624,234063,Directed
166624,240834,Directed
166624,426567,Directed
166624,434441,Directed
166624,446349,Directed
166624,648523,Directed
166624,713786,Directed
166624,733170,Directed
166624,886143,Directed
166624,956944,Directed
166872,98112,Directed
166872,360955,Directed
169284,680186,Directed
169357,411493,Directed
169357,906384,Directed
170376,741923,Directed
170470,141809,Directed
170470,602668,Directed
170567,118533,Directed
170567,284560,Directed
170567,543147,Directed
170567,675871,Directed
170567,760416,Directed
170567,783480,Directed
170567,956944,Directed
170810,8682,Directed
170810,27453,Directed
170810,579637,Directed
172462,188152,Directed
172462,837286,Directed
173104,78175,Directed
173104,466896,Directed
173104,760664,Directed
175051,292704,Directed
175095,160059,Directed
175095,263107,Directed
175095,371322,Directed
175095,415022,Directed
175095,509826,Directed
175095,622820,Directed
175095,651412,Directed
175095,655211,Directed
175095,689617,Directed
175095,765171,Directed
175095,794416,Directed
175261,152089,Directed
175261,234571,Directed
175261,313669,Directed
175261,330419,Directed
175261,352724,Directed
175261,371166,Directed
175261,623730,Directed
175261,652747,Directed
175261,847044,Directed
175261,953434,Directed
177758,827145,Directed
178548,234571,Directed
178548,275557,Directed
178548,652747,Directed
178548,847044,Directed
178673,371166,Directed
178673,809936,Directed
178673,880450,Directed
178740,252772,Directed
179098,382592,Directed
179098,739879,Directed
181552,810489,Directed
183403,109181,Directed
183403,180642,Directed
183403,271434,Directed
183403,292704,Directed
183403,332552,Directed
183403,736785,Directed
183403,891639,Directed
183412,361524,Directed
183412,473193,Directed
183412,490739,Directed
183412,886129,Directed
183439,542572,Directed
183439,938668,Directed
184184,12,Directed
185046,300431,Directed
185046,837286,Directed
185046,861535,Directed
185046,912619,Directed
188222,46253,Directed
188222,769321,Directed
188222,878700,Directed
188429,246061,Directed
188429,433532,Directed
188429,591996,Directed
188429,665457,Directed
188429,762563,Directed
188429,809936,Directed
188429,899757,Directed
193873,397503,Directed
193873,543147,Directed
193873,653288,Directed
193873,855057,Directed
195007,867036,Directed
195136,303548,Directed
196135,427413,Directed
196433,718670,Directed
196776,42651,Directed
196776,80557,Directed
196776,184184,Directed
196776,240834,Directed
196776,339616,Directed
196776,671439,Directed
196776,689795,Directed
196776,719970,Directed
196776,770667,Directed
196776,792942,Directed
197799,107392,Directed
197799,200148,Directed
197799,809936,Directed
197799,880450,Directed
197939,317411,Directed
198307,78175,Directed
198307,255153,Directed
198307,653288,Directed
198307,794425,Directed
199126,594921,Directed
199126,904208,Directed
199391,31247,Directed
199391,90599,Directed
199391,164407,Directed
199391,272006,Directed
199391,421466,Directed
199391,815812,Directed
199693,330419,Directed
199693,698186,Directed
199693,842730,Directed
200036,283989,Directed
201084,36606,Directed
201084,172462,Directed
201084,339963,Directed
201084,509826,Directed
201084,624049,Directed
201084,642729,Directed
201084,662404,Directed
201084,777783,Directed
202243,800735,Directed
203378,58981,Directed
203378,256009,Directed
203378,331182,Directed
203378,561887,Directed
203378,688410,Directed
203378,868198,Directed
203378,893040,Directed
204320,298889,Directed
204320,318718,Directed
205111,498474,Directed
205111,711275,Directed
205662,34412,Directed
205662,133079,Directed
205662,231538,Directed
205662,304664,Directed
205662,325382,Directed
205662,427677,Directed
205662,458486,Directed
205662,682577,Directed
205662,710991,Directed
205662,973180,Directed
205732,263107,Directed
205732,393065,Directed
206285,78175,Directed
206285,255153,Directed
206285,416785,Directed
206285,480597,Directed
206285,662404,Directed
206285,904867,Directed
209836,159664,Directed
209836,635489,Directed
210231,693871,Directed
210231,722707,Directed
210552,61899,Directed
210552,427358,Directed
210552,513397,Directed
210552,544577,Directed
210552,802843,Directed
210552,827145,Directed
212124,44423,Directed
212124,101440,Directed
213254,21956,Directed
213254,46040,Directed
213254,80140,Directed
213254,118533,Directed
213254,160059,Directed
213254,175095,Directed
213254,339616,Directed
213254,367748,Directed
213254,395522,Directed
213254,655211,Directed
213254,734241,Directed
213254,949596,Directed
214923,76099,Directed
214923,503187,Directed
214923,767491,Directed
217818,185046,Directed
217818,300431,Directed
217818,433532,Directed
217818,616279,Directed
217818,652747,Directed
217818,769932,Directed
217818,788633,Directed
217818,837286,Directed
217818,861535,Directed
217818,912619,Directed
218102,469958,Directed
218102,746096,Directed
219120,338858,Directed
220064,69334,Directed
220064,172462,Directed
220064,188429,Directed
220064,476123,Directed
220064,488408,Directed
220064,570165,Directed
220064,723355,Directed
220064,861535,Directed
220064,899757,Directed
221190,115231,Directed
221190,143022,Directed
225606,605595,Directed
225864,594288,Directed
226349,122152,Directed
226349,251000,Directed
226349,340618,Directed
226349,466896,Directed
226349,623730,Directed
226349,662404,Directed
226349,723355,Directed
226349,772920,Directed
226349,788633,Directed
226349,809936,Directed
226349,917287,Directed
226930,123279,Directed
226930,245747,Directed
226930,725968,Directed
227692,257049,Directed
227692,475002,Directed
229015,4668,Directed
229015,18490,Directed
229015,50277,Directed
229015,62322,Directed
229015,269684,Directed
229015,304181,Directed
229015,447372,Directed
229015,613656,Directed
229015,634697,Directed
229015,710651,Directed
229015,769384,Directed
229015,961542,Directed
230488,145820,Directed
230488,207226,Directed
230488,245747,Directed
230488,697359,Directed
230488,916744,Directed
230550,178541,Directed
230550,425129,Directed
230550,604283,Directed
230550,893040,Directed
230550,908732,Directed
231715,127348,Directed
231715,145820,Directed
231715,660924,Directed
231715,762293,Directed
231992,722707,Directed
232122,28733,Directed
232122,455554,Directed
232122,673348,Directed
234063,20620,Directed
234063,33428,Directed
234063,34831,Directed
234063,46040,Directed
234063,68086,Directed
234063,80094,Directed
234063,93677,Directed
234063,112993,Directed
234063,151670,Directed
234063,170470,Directed
234063,223922,Directed
234063,251169,Directed
234063,252546,Directed
234063,320298,Directed
234063,330419,Directed
234063,336475,Directed
234063,353233,Directed
234063,358453,Directed
234063,371166,Directed
234063,388694,Directed
234063,395522,Directed
234063,403869,Directed
234063,404597,Directed
234063,415022,Directed
234063,473193,Directed
234063,488408,Directed
234063,490739,Directed
234063,501171,Directed
234063,522972,Directed
234063,552388,Directed
234063,590169,Directed
234063,616554,Directed
234063,622820,Directed
234063,635536,Directed
234063,646256,Directed
234063,647762,Directed
234063,648523,Directed
234063,733170,Directed
234063,734241,Directed
234063,775392,Directed
234063,788633,Directed
234063,794416,Directed
234063,799121,Directed
234063,809936,Directed
234063,819295,Directed
234063,821216,Directed
234063,837286,Directed
234063,851051,Directed
234063,861535,Directed
234063,862591,Directed
234063,886129,Directed
234063,897156,Directed
234063,928462,Directed
234063,960644,Directed
234063,967206,Directed
234525,268336,Directed
234571,173662,Directed
234571,201084,Directed
234571,509826,Directed
234571,624049,Directed
234571,789840,Directed
234571,899757,Directed
