Source,Target,Type
336545,598763,Directed
337782,125695,Directed
337782,352724,Directed
337782,367748,Directed
337782,394026,Directed
337782,561887,Directed
339027,4668,Directed
339027,682577,Directed
339105,152076,Directed
339105,217818,Directed
339105,234571,Directed
339105,695630,Directed
339105,953434,Directed
339616,173104,Directed
339616,330419,Directed
339616,466896,Directed
339616,760416,Directed
340899,68817,Directed
340899,519525,Directed
340899,686503,Directed
340899,687575,Directed
343585,336475,Directed
343585,361524,Directed
343585,490739,Directed
343585,616554,Directed
343585,733170,Directed
343585,798371,Directed
343585,851051,Directed
343585,862591,Directed
344930,36606,Directed
344930,152076,Directed
344930,201084,Directed
344930,217818,Directed
344930,234571,Directed
344930,330419,Directed
344930,509826,Directed
344930,561887,Directed
344930,662404,Directed
344930,698186,Directed
344930,953434,Directed
345466,367748,Directed
345466,473193,Directed
345466,850033,Directed
352724,344930,Directed
352724,783480,Directed
352724,817255,Directed
352724,917287,Directed
353233,33428,Directed
353233,112993,Directed
353233,263107,Directed
353233,466896,Directed
353233,622820,Directed
353233,794416,Directed
353813,870766,Directed
354373,832068,Directed
358453,285619,Directed
358453,330419,Directed
358453,394026,Directed
358453,663942,Directed
358453,675871,Directed
358453,772920,Directed
358453,827256,Directed
358453,855712,Directed
358453,861535,Directed
358453,956944,Directed
361524,205732,Directed
361524,450925,Directed
361524,628125,Directed
361524,711333,Directed
361524,935380,Directed
362095,44423,Directed
362652,469958,Directed
365355,691771,Directed
367659,504752,Directed
367659,593581,Directed
367748,466896,Directed
367748,663942,Directed
369001,93677,Directed
369001,358453,Directed
369001,367748,Directed
369001,434441,Directed
369001,589591,Directed
369001,602762,Directed
369001,607806,Directed
369001,675871,Directed
369001,792942,Directed
369001,827256,Directed
371166,765295,Directed
371166,809936,Directed
371166,837286,Directed
371322,43242,Directed
371322,94059,Directed
371322,263107,Directed
371322,293406,Directed
371322,460278,Directed
371322,637827,Directed
371322,675871,Directed
371322,756573,Directed
371322,783480,Directed
371327,80094,Directed
371327,243740,Directed
371327,371166,Directed
371327,412083,Directed
371327,485511,Directed
371327,493107,Directed
371327,809936,Directed
371327,864535,Directed
371327,880450,Directed
383151,12637,Directed
383151,81293,Directed
383151,252284,Directed
383225,619925,Directed
385014,421466,Directed
385014,604011,Directed
389279,78175,Directed
389279,330419,Directed
389279,466896,Directed
389279,570165,Directed
389279,653288,Directed
389279,760235,Directed
389279,960245,Directed
390552,957301,Directed
393065,223922,Directed
394026,173104,Directed
394026,198307,Directed
394026,217818,Directed
394026,367748,Directed
394026,695630,Directed
394026,698186,Directed
394410,903,Directed
394410,130507,Directed
394410,503187,Directed
394410,517600,Directed
394654,31247,Directed
394654,90599,Directed
394654,145820,Directed
394654,385014,Directed
394654,429223,Directed
394654,660924,Directed
394654,697359,Directed
397503,78175,Directed
397503,108058,Directed
397503,652747,Directed
402486,81293,Directed
402486,725968,Directed
403869,160059,Directed
403869,263107,Directed
403869,460278,Directed
404597,105933,Directed
404597,713786,Directed
404597,860045,Directed
404597,870270,Directed
406473,886143,Directed
406500,371166,Directed
409691,285619,Directed
409691,367659,Directed
409691,371166,Directed
409691,493107,Directed
409691,495162,Directed
409691,611070,Directed
409691,809936,Directed
411493,697359,Directed
412083,371166,Directed
412083,406500,Directed
412083,809936,Directed
415022,160059,Directed
415022,622820,Directed
415022,655211,Directed
418404,601449,Directed
421466,349918,Directed
421466,886147,Directed
426567,80140,Directed
426567,93677,Directed
426567,330419,Directed
426567,369001,Directed
426567,394026,Directed
426567,446349,Directed
430832,809936,Directed
431211,769240,Directed
433311,466896,Directed
433311,675871,Directed
433311,760664,Directed
433532,417947,Directed
434441,80140,Directed
434441,108597,Directed
434441,118533,Directed
434441,284560,Directed
434441,602762,Directed
434441,801366,Directed
446349,108597,Directed
446349,118533,Directed
446349,284560,Directed
446349,460278,Directed
446349,578075,Directed
446349,792942,Directed
447372,4668,Directed
447372,62322,Directed
447372,93677,Directed
447372,203378,Directed
447372,676461,Directed
447372,688410,Directed
447372,932160,Directed
447372,961542,Directed
450087,867084,Directed
453466,621083,Directed
453466,664889,Directed
453466,736386,Directed
457515,78175,Directed
457515,206285,Directed
457515,251169,Directed
457515,561887,Directed
457515,623730,Directed
457515,653288,Directed
457515,917287,Directed
460278,33428,Directed
460278,43242,Directed
460278,170470,Directed
460278,353233,Directed
460278,466896,Directed
460278,622820,Directed
460278,734241,Directed
460278,754759,Directed
